tournament_id,team_id,team_name,year,top5_league_count,connectivity,population,gdp_usd,gdp_per_capita,fifa_rank
WC-2018,T-71,South Korea,2018,4,0,51361911,1623074183502,31600.74,57
WC-2018,T-73,Spain,2018,19,13,46571232,1313245330198,28198.64,10
WC-2018,T-74,Sweden,2018,13,3,10057698,541018749769,53791.51,24
WC-2018,T-75,Switzerland,2018,19,7,8451840,695200833086,82254.38,6
WC-2018,T-79,Tunisia,2018,6,0,11650498,42163530591,3619.03,21
WC-2018,T-84,Uruguay,2018,10,0,3388438,65006047680,19184.66,14
WC-2022,T-03,Argentina,2022,23,10,45312281,487902572164,10767.56,3
WC-2022,T-04,Australia,2022,3,0,25685412,1559033756285,60697.25,38
WC-2022,T-06,Belgium,2022,19,7,11586195,600904461226,51863.83,2
WC-2022,T-09,Brazil,2022,22,15,209550294,1670647399035,7972.54,1
WC-2022,T-11,Cameroon,2022,10,1,26915758,44993521774,1671.64,43
WC-2022,T-12,Canada,2022,4,0,38239864,2007472181464,52496.84,41
WC-2022,T-17,Costa Rica,2022,1,0,5059988,64960725734,12838.12,31
WC-2022,T-18,Croatia,2022,18,0,3878981,69602166351,17943.42,12
WC-2022,T-22,Denmark,2022,19,7,5856733,405687998853,69268.65,10
WC-2022,T-25,Ecuador,2022,7,3,17682454,107435101000,6075.8,44
WC-2022,T-28,England,2022,26,25,56467512,2701695294692,47845.13,5
WC-2022,T-30,France,2022,25,12,67842811,2959355819170,43620.77,4
WC-2022,T-31,Germany,2022,26,34,83196078,4278503934690,51426.75,11
WC-2022,T-32,Ghana,2022,14,1,32518665,79524421861,2445.5,61
WC-2022,T-38,Iran,2022,2,0,88455488,359096907772,4059.63,20
WC-2022,T-44,Japan,2022,12,1,125681593,5034620784585,40058.54,24
WC-2022,T-46,Mexico,2022,6,0,127648148,1313069763987,10286.63,13
WC-2022,T-47,Morocco,2022,14,2,36954442,141817797083,3837.64,22
WC-2022,T-48,Netherlands,2022,14,6,17533044,1029678338329,58727.87,8
WC-2022,T-57,Poland,2022,16,4,36981559,681346077609,18423.94,26
WC-2022,T-58,Portugal,2022,19,12,10361831,255534839406,24661.17,9
WC-2022,T-59,Qatar,2022,0,0,2504910,179732009560,71751.88,50
WC-2022,T-63,Saudi Arabia,2022,0,0,30784383,874156000000,28396.09,51
WC-2022,T-65,Senegal,2022,16,3,17220867,27520784130,1598.11,18
WC-2022,T-66,Serbia,2022,16,11,6834326,63101042898,9232.96,21
WC-2022,T-71,South Korea,2022,2,0,51769539,1818432106880,35125.52,28
WC-2022,T-73,Spain,2022,25,36,47443821,1445651653605,30470.81,7
WC-2022,T-75,Switzerland,2022,17,3,8704546,813408787222,93446.43,15
WC-2022,T-79,Tunisia,2022,5,0,12048622,46812290143,3885.28,30
WC-2022,T-83,United States,2022,13,4,332099760,23594031000000,71045.01,16
WC-2022,T-84,Uruguay,2022,10,1,3396695,60760798596,17888.21,14
WC-2022,T-85,Wales,2022,12,5,3081264,106811209325,34664.74,19
WC-2026,T-01,Algeria,2026,11,1,46814308,239899491128,5124.49,28
WC-2026,T-03,Argentina,2026,20,16,45696159,640591410664,14018.5,1
WC-2026,T-04,Australia,2026,5,1,27196812,1723827215335,63383.43,27
WC-2026,T-05,Austria,2026,16,4,9177982,516034144116,56225.23,24
WC-2026,T-06,Belgium,2026,20,7,11858610,632216577075,53312.87,9
WC-2026,T-08,Bosnia and Herzegovina,2026,5,0,3164253,27054889363,8550.17,64
WC-2026,T-09,Brazil,2026,14,2,211998573,2173665655937,10253.21,6
WC-2026,T-12,Canada,2026,6,1,41288599,2140085567791,51832.36,30
WC-2026,T-90,Cape Verde,2026,1,0,524877,2587252076,4929.25,67
WC-2026,T-16,Colombia,2026,7,1,52886363,363540156235,6873.99,13
WC-2026,T-18,Croatia,2026,17,2,3866200,82688842717,21387.63,11
WC-2026,T-89,Curaçao,2026,0,0,155967,3073840325,19708.27,82
WC-2026,T-20,Czech Republic,2026,7,3,10905028,330858339872,30339.98,40
WC-2026,T-92,DR Congo,2026,11,1,109276265,66383287003,607.48,46
WC-2026,T-25,Ecuador,2026,6,0,18135478,118844826000,6553.17,23
WC-2026,T-26,Egypt,2026,4,0,116538258,395926075163,3397.39,29
WC-2026,T-28,England,2026,25,17,58357518,2872427847375,49221.21,4
WC-2026,T-30,France,2026,24,14,68551653,3030904089608,44213.44,3
