World Cup,Country,Player,Position,Club,Club Association,Top-5 League,Counted?
2002,Denmark,Thomas Sørensen,GK,Sunderland,England,Premier League,TRUE
2002,Denmark,Stig Tøfting,MF,Bolton Wanderers,England,Premier League,TRUE
2002,Denmark,René Henriksen,DF,Panathinaikos,Greece,,FALSE
2002,Denmark,Martin Laursen,DF,Milan,Italy,Serie A,TRUE
2002,Denmark,Jan Heintze (c),DF,PSV Eindhoven,Netherlands,,FALSE
2002,Denmark,Thomas Helveg,DF,Milan,Italy,Serie A,TRUE
2002,Denmark,Thomas Gravesen,MF,Everton,England,Premier League,TRUE
2002,Denmark,Jesper Grønkjær,MF,Chelsea,England,Premier League,TRUE
2002,Denmark,Jon Dahl Tomasson,FW,Feyenoord,Netherlands,,FALSE
2002,Denmark,Martin Jørgensen,MF,Udinese,Italy,Serie A,TRUE
2002,Denmark,Ebbe Sand,FW,Schalke 04,Germany,Bundesliga,TRUE
2002,Denmark,Niclas Jensen,DF,Manchester City,England,,FALSE
2002,Denmark,Steven Lustü,DF,Lyn,Norway,,FALSE
2002,Denmark,Claus Jensen,MF,Charlton Athletic,England,Premier League,TRUE
2002,Denmark,Jan Michaelsen,MF,Panathinaikos,Greece,,FALSE
2002,Denmark,Peter Kjær,GK,Aberdeen,Scotland,,FALSE
2002,Denmark,Christian Poulsen,MF,Copenhagen,Denmark,,FALSE
2002,Denmark,Peter Løvenkrands,FW,Rangers,Scotland,,FALSE
2002,Denmark,Dennis Rommedahl,MF,PSV Eindhoven,Netherlands,,FALSE
2002,Denmark,Kasper Bøgelund,DF,PSV Eindhoven,Netherlands,,FALSE
2002,Denmark,Peter Madsen,FW,Brøndby,Denmark,,FALSE
2002,Denmark,Jesper Christiansen,GK,Vejle,Denmark,,FALSE
2002,Denmark,Brian Steen Nielsen,MF,Malmö,Sweden,,FALSE
2002,France,Ulrich Ramé,GK,Bordeaux,France,Ligue 1,TRUE
2002,France,Vincent Candela,DF,Roma,Italy,Serie A,TRUE
2002,France,Bixente Lizarazu,DF,Bayern Munich,Germany,Bundesliga,TRUE
2002,France,Patrick Vieira,MF,Arsenal,England,Premier League,TRUE
2002,France,Philippe Christanval,DF,Barcelona,Spain,La Liga,TRUE
2002,France,Youri Djorkaeff,MF,Bolton Wanderers,England,Premier League,TRUE
2002,France,Claude Makélélé,MF,Real Madrid,Spain,La Liga,TRUE
2002,France,Marcel Desailly (c),DF,Chelsea,England,Premier League,TRUE
2002,France,Djibril Cissé,FW,Auxerre,France,Ligue 1,TRUE
2002,France,Zinedine Zidane,MF,Real Madrid,Spain,La Liga,TRUE
2002,France,Sylvain Wiltord,FW,Arsenal,England,Premier League,TRUE
2002,France,Thierry Henry,FW,Arsenal,England,Premier League,TRUE
2002,France,Mikaël Silvestre,DF,Manchester United,England,Premier League,TRUE
2002,France,Alain Boghossian,MF,Parma,Italy,Serie A,TRUE
2002,France,Lilian Thuram,DF,Juventus,Italy,Serie A,TRUE
2002,France,Fabien Barthez,GK,Manchester United,England,Premier League,TRUE
2002,France,Emmanuel Petit,MF,Chelsea,England,Premier League,TRUE
2002,France,Frank Leboeuf,DF,Marseille,France,Ligue 1,TRUE
2002,France,Willy Sagnol,DF,Bayern Munich,Germany,Bundesliga,TRUE
2002,France,David Trezeguet,FW,Juventus,Italy,Serie A,TRUE
2002,France,Christophe Dugarry,FW,Bordeaux,France,Ligue 1,TRUE
2002,France,Johan Micoud,MF,Parma,Italy,Serie A,TRUE
2002,France,Grégory Coupet,GK,Lyon,France,Ligue 1,TRUE
2002,Senegal,Tony Sylva,GK,Monaco,France,Ligue 1,TRUE
2002,Senegal,Omar Daf,DF,Sochaux,France,Ligue 1,TRUE
2002,Senegal,Pape Sarr,MF,Lens,France,Ligue 1,TRUE
2002,Senegal,Pape Malick Diop,DF,Lorient,France,Ligue 1,TRUE
2002,Senegal,Alassane N'Dour,DF,Saint-Étienne,France,,FALSE
2002,Senegal,Aliou Cissé (c),DF,Montpellier,France,Ligue 1,TRUE
2002,Senegal,Henri Camara,FW,Sedan,France,Ligue 1,TRUE
2002,Senegal,Amara Traoré,FW,Gueugnon,France,,FALSE
2002,Senegal,Souleymane Camara,FW,Monaco,France,Ligue 1,TRUE
2002,Senegal,Khalilou Fadiga,MF,Auxerre,France,Ligue 1,TRUE
2002,Senegal,El Hadji Diouf,FW,Lens,France,Ligue 1,TRUE
2002,Senegal,Amdy Faye,MF,Auxerre,France,Ligue 1,TRUE
2002,Senegal,Lamine Diatta,DF,Rennes,France,Ligue 1,TRUE
2002,Senegal,Moussa N'Diaye,MF,Sedan,France,Ligue 1,TRUE
2002,Senegal,Salif Diao,MF,Sedan,France,Ligue 1,TRUE
2002,Senegal,Omar Diallo,GK,Olympique Khouribga,Morocco,,FALSE
2002,Senegal,Ferdinand Coly,DF,Lens,France,Ligue 1,TRUE
2002,Senegal,Pape Thiaw,FW,Strasbourg,France,,FALSE
2002,Senegal,Papa Bouba Diop,MF,Lens,France,Ligue 1,TRUE
2002,Senegal,Sylvain N'Diaye,MF,Lille,France,Ligue 1,TRUE
2002,Senegal,Habib Beye,DF,Strasbourg,France,,FALSE
2002,Senegal,Kalidou Cissokho,GK,Jeanne d'Arc,Senegal,,FALSE
2002,Senegal,Makhtar N'Diaye,MF,Rennes,France,Ligue 1,TRUE
2002,Uruguay,Fabián Carini,GK,Juventus,Italy,Serie A,TRUE
2002,Uruguay,Gustavo Méndez,DF,Nacional,Uruguay,,FALSE
2002,Uruguay,Alejandro Lembo,DF,Nacional,Uruguay,,FALSE
2002,Uruguay,Paolo Montero (c),DF,Juventus,Italy,Serie A,TRUE
2002,Uruguay,Pablo García,MF,Venezia,Italy,Serie A,TRUE
2002,Uruguay,Darío Rodríguez,DF,Peñarol,Uruguay,,FALSE
2002,Uruguay,Gianni Guigou,MF,Roma,Italy,Serie A,TRUE
2002,Uruguay,Gustavo Varela,FW,Nacional,Uruguay,,FALSE
2002,Uruguay,Darío Silva,FW,Málaga,Spain,La Liga,TRUE
2002,Uruguay,Fabián O'Neill,MF,Perugia,Italy,Serie A,TRUE
2002,Uruguay,Federico Magallanes,FW,Venezia,Italy,Serie A,TRUE
2002,Uruguay,Gustavo Munúa,GK,Nacional,Uruguay,,FALSE
2002,Uruguay,Sebastián Abreu,FW,Cruz Azul,Mexico,,FALSE
2002,Uruguay,Gonzalo Sorondo,DF,Inter Milan,Italy,Serie A,TRUE
2002,Uruguay,Nicolás Olivera,FW,Sevilla,Spain,La Liga,TRUE
2002,Uruguay,Marcelo Romero,MF,Málaga,Spain,La Liga,TRUE
2002,Uruguay,Mario Regueiro,MF,Racing Santander,Spain,,FALSE
2002,Uruguay,Richard Morales,FW,Nacional,Uruguay,,FALSE
2002,Uruguay,Joe Bizera,DF,Peñarol,Uruguay,,FALSE
2002,Uruguay,Álvaro Recoba,MF,Inter Milan,Italy,Serie A,TRUE
2002,Uruguay,Diego Forlán,FW,Manchester United,England,Premier League,TRUE
2002,Uruguay,Gonzalo de los Santos,MF,Valencia,Spain,La Liga,TRUE
2002,Uruguay,Federico Elduayen,GK,Peñarol,Uruguay,,FALSE
2002,Paraguay,José Luis Chilavert (c),GK,Strasbourg,France,,FALSE
2002,Paraguay,Francisco Arce,DF,Palmeiras,Brazil,,FALSE
2002,Paraguay,Pedro Sarabia,DF,River Plate,Argentina,,FALSE
2002,Paraguay,Carlos Gamarra,DF,AEK Athens,Greece,,FALSE
2002,Paraguay,Celso Ayala,DF,River Plate,Argentina,,FALSE
2002,Paraguay,Estanislao Struway,MF,Libertad,Paraguay,,FALSE
2002,Paraguay,Richart Báez,FW,Olimpia,Paraguay,,FALSE
2002,Paraguay,Guido Alvarenga,MF,Léon,Mexico,,FALSE
2002,Paraguay,Roque Santa Cruz,FW,Bayern Munich,Germany,Bundesliga,TRUE
2002,Paraguay,Roberto Acuña,MF,Zaragoza,Spain,La Liga,TRUE
2002,Paraguay,Jorge Luis Campos,FW,Universidad Católica,Chile,,FALSE
2002,Paraguay,Justo Villar,GK,Libertad,Paraguay,,FALSE
2002,Paraguay,Carlos Paredes,MF,Porto,Portugal,,FALSE
2002,Paraguay,Diego Gavilán,MF,Tecos,Mexico,,FALSE
2002,Paraguay,Carlos Bonet,MF,Libertad,Paraguay,,FALSE
2002,Paraguay,Gustavo Morínigo,MF,Libertad,Paraguay,,FALSE
2002,Paraguay,Juan Carlos Franco,DF,Olimpia,Paraguay,,FALSE
2002,Paraguay,Julio César Cáceres,DF,Olimpia,Paraguay,,FALSE
2002,Paraguay,Daniel Sanabria,DF,Libertad,Paraguay,,FALSE
2002,Paraguay,José Cardozo,FW,Toluca,Mexico,,FALSE
2002,Paraguay,Denis Caniza,DF,Santos Laguna,Mexico,,FALSE
2002,Paraguay,Ricardo Tavarelli,GK,Olimpia,Paraguay,,FALSE
2002,Paraguay,Nelson Cuevas,FW,River Plate,Argentina,,FALSE
2002,Slovenia,Marko Simeunovič,GK,Maribor,Slovenia,,FALSE
2002,Slovenia,Goran Sankovič,DF,Slavia Prague,Czech Republic,,FALSE
2002,Slovenia,Željko Milinovič,DF,JEF United Ichihara,Japan,,FALSE
2002,Slovenia,Muamer Vugdalić,DF,Maribor,Slovenia,,FALSE
2002,Slovenia,Marinko Galič,DF,Koper,Slovenia,,FALSE
2002,Slovenia,Aleksander Knavs,DF,1. FC Kaiserslautern,Germany,Bundesliga,TRUE
2002,Slovenia,Džoni Novak,MF,SpVgg Unterhaching,Germany,,FALSE
2002,Slovenia,Aleš Čeh (c),MF,Grazer AK,Austria,,FALSE
2002,Slovenia,Milan Osterc,FW,Hapoel Tel Aviv,Israel,,FALSE
2002,Slovenia,Zlatko Zahovič*,MF,Benfica,Portugal,,FALSE
2002,Slovenia,Miran Pavlin,MF,Porto,Portugal,,FALSE
2002,Slovenia,Mladen Dabanovič,GK,Lokeren,Belgium,,FALSE
2002,Slovenia,Mladen Rudonja,FW,Portsmouth,England,,FALSE
2002,Slovenia,Saša Gajser,DF,Gent,Belgium,,FALSE
2002,Slovenia,Rajko Tavčar,MF,1. FC Nürnberg,Germany,Bundesliga,TRUE
2002,Slovenia,Senad Tiganj,FW,Olimpija Ljubljana,Slovenia,,FALSE
2002,Slovenia,Zoran Pavlović,MF,Austria Wien,Austria,,FALSE
2002,Slovenia,Milenko Ačimovič,FW,Red Star Belgrade,FR Yugoslavia,,FALSE
2002,Slovenia,Amir Karić,DF,Maribor,Slovenia,,FALSE
2002,Slovenia,Nastja Čeh,MF,Club Brugge,Belgium,,FALSE
2002,Slovenia,Sebastjan Cimirotič,FW,Lecce,Italy,Serie A,TRUE
2002,Slovenia,Dejan Nemec,GK,Club Brugge,Belgium,,FALSE
2002,Slovenia,Spasoje Bulajič,DF,1. FC Köln,Germany,Bundesliga,TRUE
2002,South Africa,Hans Vonk,GK,Heerenveen,Netherlands,,FALSE
2002,South Africa,Cyril Nzama,DF,Kaizer Chiefs,South Africa,,FALSE
2002,South Africa,Bradley Carnell,DF,VfB Stuttgart,Germany,Bundesliga,TRUE
2002,South Africa,Aaron Mokoena,DF,Germinal Beerschot,Belgium,,FALSE
2002,South Africa,Jacob Lekgetho,DF,Lokomotiv Moscow,Russia,,FALSE
2002,South Africa,MacBeth Sibaya,MF,Jomo Cosmos,South Africa,,FALSE
2002,South Africa,Quinton Fortune,MF,Manchester United,England,Premier League,TRUE
2002,South Africa,Thabo Mngomeni,MF,Orlando Pirates,South Africa,,FALSE
2002,South Africa,MacDonald Mukansi,MF,Lokomotiv Sofia,Bulgaria,,FALSE
2002,South Africa,Bennett Mnguni,MF,Lokomotiv Moscow,Russia,,FALSE
2002,South Africa,Jabu Pule,MF,Kaizer Chiefs,South Africa,,FALSE
2002,South Africa,Teboho Mokoena,MF,St. Gallen,Switzerland,,FALSE
2002,South Africa,Pierre Issa,DF,Watford,England,,FALSE
2002,South Africa,Siyabonga Nomvethe,FW,Udinese,Italy,Serie A,TRUE
2002,South Africa,Sibusiso Zuma,MF,Copenhagen,Denmark,,FALSE
2002,South Africa,Andre Arendse,GK,Santos Cape Town,South Africa,,FALSE
2002,South Africa,Benni McCarthy,FW,Porto,Portugal,,FALSE
2002,South Africa,Delron Buckley,MF,VfL Bochum,Germany,,FALSE
2002,South Africa,Lucas Radebe (c),DF,Leeds United,England,Premier League,TRUE
2002,South Africa,Calvin Marlin,GK,Ajax Cape Town,South Africa,,FALSE
2002,South Africa,Steven Pienaar,MF,Ajax,Netherlands,,FALSE
2002,South Africa,Thabang Molefe,DF,Jomo Cosmos,South Africa,,FALSE
2002,South Africa,George Koumantarakis,FW,Basel,Switzerland,,FALSE
2002,Spain,Iker Casillas,GK,Real Madrid,Spain,La Liga,TRUE
2002,Spain,Curro Torres,DF,Valencia,Spain,La Liga,TRUE
2002,Spain,Juanfran,DF,Celta Vigo,Spain,La Liga,TRUE
2002,Spain,Iván Helguera,MF,Real Madrid,Spain,La Liga,TRUE
2002,Spain,Carles Puyol,DF,Barcelona,Spain,La Liga,TRUE
2002,Spain,Fernando Hierro (c),DF,Real Madrid,Spain,La Liga,TRUE
2002,Spain,Raúl,FW,Real Madrid,Spain,La Liga,TRUE
2002,Spain,Rubén Baraja,MF,Valencia,Spain,La Liga,TRUE
2002,Spain,Fernando Morientes,FW,Real Madrid,Spain,La Liga,TRUE
2002,Spain,Diego Tristán,FW,Deportivo La Coruña,Spain,La Liga,TRUE
2002,Spain,Javier de Pedro,MF,Real Sociedad,Spain,La Liga,TRUE
2002,Spain,Albert Luque,FW,Mallorca,Spain,La Liga,TRUE
2002,Spain,Ricardo,GK,Valladolid,Spain,La Liga,TRUE
2002,Spain,David Albelda,MF,Valencia,Spain,La Liga,TRUE
2002,Spain,Enrique Romero,DF,Deportivo La Coruña,Spain,La Liga,TRUE
2002,Spain,Gaizka Mendieta,MF,Lazio,Italy,Serie A,TRUE
2002,Spain,Juan Carlos Valerón,MF,Deportivo La Coruña,Spain,La Liga,TRUE
2002,Spain,Sergio,MF,Deportivo La Coruña,Spain,La Liga,TRUE
2002,Spain,Xavi,MF,Barcelona,Spain,La Liga,TRUE
2002,Spain,Miguel Ángel Nadal,DF,Mallorca,Spain,La Liga,TRUE
2002,Spain,Luis Enrique,MF,Barcelona,Spain,La Liga,TRUE
2002,Spain,Joaquín,MF,Real Betis,Spain,La Liga,TRUE
2002,Spain,Pedro Contreras,GK,Málaga,Spain,La Liga,TRUE
2002,Brazil,Marcos,GK,Palmeiras,Brazil,,FALSE
2002,Brazil,Cafu (c),DF,Roma,Italy,Serie A,TRUE
2002,Brazil,Lúcio,DF,Bayer Leverkusen,Germany,Bundesliga,TRUE
2002,Brazil,Roque Júnior,DF,Milan,Italy,Serie A,TRUE
2002,Brazil,Edmílson,DF,Lyon,France,Ligue 1,TRUE
2002,Brazil,Roberto Carlos,DF,Real Madrid,Spain,La Liga,TRUE
2002,Brazil,Ricardinho,MF,Corinthians,Brazil,,FALSE
2002,Brazil,Gilberto Silva,MF,Atlético Mineiro,Brazil,,FALSE
2002,Brazil,Ronaldo,FW,Inter Milan,Italy,Serie A,TRUE
2002,Brazil,Rivaldo,MF,Barcelona,Spain,La Liga,TRUE
2002,Brazil,Ronaldinho,MF,Paris Saint-Germain,France,Ligue 1,TRUE
2002,Brazil,Dida,GK,Corinthians,Brazil,,FALSE
2002,Brazil,Juliano Belletti,DF,São Paulo,Brazil,,FALSE
2002,Brazil,Ânderson Polga,DF,Grêmio,Brazil,,FALSE
2002,Brazil,Kléberson,MF,Atlético Paranaense,Brazil,,FALSE
2002,Brazil,Júnior,DF,Parma,Italy,Serie A,TRUE
2002,Brazil,Denílson,FW,Real Betis,Spain,La Liga,TRUE
2002,Brazil,Vampeta,MF,Corinthians,Brazil,,FALSE
2002,Brazil,Juninho Paulista,MF,Flamengo,Brazil,,FALSE
2002,Brazil,Edílson,FW,Cruzeiro,Brazil,,FALSE
2002,Brazil,Luizão,FW,Grêmio,Brazil,,FALSE
2002,Brazil,Rogério Ceni,GK,São Paulo,Brazil,,FALSE
2002,Brazil,Kaká,MF,São Paulo,Brazil,,FALSE
2002,China PR,An Qi,GK,Dalian Shide,China PR,,FALSE
2002,China PR,Zhang Enhua,DF,Dalian Shide,China PR,,FALSE
2002,China PR,Yang Pu,DF,Beijing Guoan,China PR,,FALSE
2002,China PR,Wu Chengying,DF,Shanghai Shenhua,China PR,,FALSE
2002,China PR,Fan Zhiyi,DF,Dundee,Scotland,,FALSE
2002,China PR,Shao Jiayi,MF,Beijing Guoan,China PR,,FALSE
2002,China PR,Sun Jihai,DF,Manchester City,England,,FALSE
2002,China PR,Li Tie,MF,Liaoning,China PR,,FALSE
2002,China PR,Ma Mingyu (c),MF,Sichuan First City,China PR,,FALSE
2002,China PR,Hao Haidong,FW,Dalian Shide,China PR,,FALSE
2002,China PR,Yu Genwei,MF,Tianjin Teda,China PR,,FALSE
2002,China PR,Su Maozhen,FW,Shandong Luneng,China PR,,FALSE
2002,China PR,Gao Yao,MF,Shandong Luneng,China PR,,FALSE
2002,China PR,Li Weifeng,DF,Shenzhen Pingan,China PR,,FALSE
2002,China PR,Zhao Junzhe,MF,Liaoning,China PR,,FALSE
2002,China PR,Qu Bo,FW,Qingdao Etsong Hainiu,China PR,,FALSE
2002,China PR,Du Wei,DF,Shanghai Shenhua,China PR,,FALSE
2002,China PR,Li Xiaopeng,MF,Shandong Luneng,China PR,,FALSE
2002,China PR,Qi Hong,MF,Beijing Chengfeng F.C.,China PR,,FALSE
2002,China PR,Yang Chen,FW,Eintracht Frankfurt,Germany,,FALSE
2002,China PR,Xu Yunlong,DF,Beijing Guoan,China PR,,FALSE
2002,China PR,Jiang Jin,GK,Tianjin Teda,China PR,,FALSE
2002,China PR,Ou Chuliang,GK,Yunnan Hongta,China PR,,FALSE
2002,Costa Rica,Erick Lonnis (c),GK,Saprissa,Costa Rica,,FALSE
2002,Costa Rica,Jervis Drummond,DF,Saprissa,Costa Rica,,FALSE
2002,Costa Rica,Luis Marín,DF,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Mauricio Wright,DF,Herediano,Costa Rica,,FALSE
2002,Costa Rica,Gilberto Martínez,DF,Saprissa,Costa Rica,,FALSE
2002,Costa Rica,Wílmer López,MF,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Rolando Fonseca,FW,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Mauricio Solís,MF,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Paulo Wanchope,FW,Manchester City,England,,FALSE
2002,Costa Rica,Walter Centeno,MF,Saprissa,Costa Rica,,FALSE
2002,Costa Rica,Rónald Gómez,FW,OFI,Greece,,FALSE
2002,Costa Rica,Winston Parks,FW,Udinese,Italy,Serie A,TRUE
2002,Costa Rica,Daniel Vallejos,DF,Herediano,Costa Rica,,FALSE
2002,Costa Rica,Juan José Rodríguez,DF,San Carlos,Costa Rica,,FALSE
2002,Costa Rica,Harold Wallace,DF,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Steven Bryce,FW,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Hernán Medford,MF,Saprissa,Costa Rica,,FALSE
2002,Costa Rica,Álvaro Mesén,GK,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Rodrigo Cordero,MF,Herediano,Costa Rica,,FALSE
2002,Costa Rica,William Sunsing,FW,Herediano,Costa Rica,,FALSE
2002,Costa Rica,Pablo Chinchilla,DF,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Carlos Castro,DF,Alajuelense,Costa Rica,,FALSE
2002,Costa Rica,Lester Morgan,GK,Herediano,Costa Rica,,FALSE
2002,Turkey,Rüştü Reçber,GK,Fenerbahçe,Turkey,,FALSE
2002,Turkey,Emre Aşık,DF,Galatasaray,Turkey,,FALSE
2002,Turkey,Bülent Korkmaz,DF,Galatasaray,Turkey,,FALSE
2002,Turkey,Fatih Akyel,DF,Fenerbahçe,Turkey,,FALSE
2002,Turkey,Alpay Özalan,DF,Aston Villa,England,Premier League,TRUE
2002,Turkey,Arif Erdem,FW,Galatasaray,Turkey,,FALSE
2002,Turkey,Okan Buruk,MF,Inter Milan,Italy,Serie A,TRUE
2002,Turkey,Tugay Kerimoğlu,MF,Blackburn Rovers,England,Premier League,TRUE
2002,Turkey,Hakan Şükür (c),FW,Parma,Italy,Serie A,TRUE
2002,Turkey,Yıldıray Baştürk,MF,Bayer Leverkusen,Germany,Bundesliga,TRUE
2002,Turkey,Hasan Şaş,FW,Galatasaray,Turkey,,FALSE
2002,Turkey,Ömer Çatkıç,GK,Gaziantepspor,Turkey,,FALSE
2002,Turkey,Muzzy Izzet,MF,Leicester City,England,Premier League,TRUE
2002,Turkey,Tayfur Havutçu,MF,Beşiktaş,Turkey,,FALSE
2002,Turkey,Nihat Kahveci,FW,Real Sociedad,Spain,La Liga,TRUE
2002,Turkey,Ümit Özat,DF,Fenerbahçe,Turkey,,FALSE
2002,Turkey,İlhan Mansız,FW,Beşiktaş,Turkey,,FALSE
2002,Turkey,Ergün Penbe,MF,Galatasaray,Turkey,,FALSE
2002,Turkey,Abdullah Ercan,MF,Fenerbahçe,Turkey,,FALSE
2002,Turkey,Hakan Ünsal,DF,Blackburn Rovers,England,Premier League,TRUE
2002,Turkey,Emre Belözoğlu,MF,Inter Milan,Italy,Serie A,TRUE
2002,Turkey,Ümit Davala,MF,Milan,Italy,Serie A,TRUE
2002,Turkey,Zafer Özgültekin,GK,Ankaragücü,Turkey,,FALSE
2002,Poland,Jerzy Dudek,GK,Liverpool,England,Premier League,TRUE
2002,Poland,Tomasz Kłos,DF,1. FC Kaiserslautern,Germany,Bundesliga,TRUE
2002,Poland,Jacek Zieliński,DF,Legia Warsaw,Poland,,FALSE
2002,Poland,Michał Żewłakow,DF,Mouscron,Belgium,,FALSE
2002,Poland,Tomasz Rząsa,DF,Feyenoord,Netherlands,,FALSE
2002,Poland,Tomasz Hajto,DF,Schalke 04,Germany,Bundesliga,TRUE
2002,Poland,Piotr Świerczewski,MF,Marseille,France,Ligue 1,TRUE
2002,Poland,Cezary Kucharski,FW,Legia Warsaw,Poland,,FALSE
2002,Poland,Paweł Kryszałowicz,FW,Eintracht Frankfurt,Germany,,FALSE
2002,Poland,Radosław Kałużny,MF,Energie Cottbus,Germany,Bundesliga,TRUE
2002,Poland,Emmanuel Olisadebe,FW,Panathinaikos,Greece,,FALSE
2002,Poland,Radosław Majdan,GK,Göztepe,Turkey,,FALSE
2002,Poland,Arkadiusz Głowacki,DF,Wisła Kraków,Poland,,FALSE
2002,Poland,Marcin Żewłakow,FW,Mouscron,Belgium,,FALSE
2002,Poland,Tomasz Wałdoch (c),DF,Schalke 04,Germany,Bundesliga,TRUE
2002,Poland,Maciej Murawski,DF,Legia Warsaw,Poland,,FALSE
2002,Poland,Arkadiusz Bąk,MF,Widzew Łódź,Poland,,FALSE
2002,Poland,Jacek Krzynówek,FW,1. FC Nürnberg,Germany,Bundesliga,TRUE
2002,Poland,Maciej Żurawski,FW,Wisła Kraków,Poland,,FALSE
2002,Poland,Jacek Bąk,DF,Lens,France,Ligue 1,TRUE
2002,Poland,Marek Koźmiński,MF,Ancona,Italy,,FALSE
2002,Poland,Adam Matysek,GK,RKS Radomsko,Poland,,FALSE
2002,Poland,Paweł Sibik,MF,Odra Wodzisław,Poland,,FALSE
2002,Portugal,Vítor Baía,GK,Porto,Portugal,,FALSE
2002,Portugal,Jorge Costa,DF,Porto,Portugal,,FALSE
2002,Portugal,Abel Xavier,DF,Liverpool,England,Premier League,TRUE
2002,Portugal,Marco Caneira,DF,Benfica,Portugal,,FALSE
2002,Portugal,Fernando Couto (c),DF,Lazio,Italy,Serie A,TRUE
2002,Portugal,Paulo Sousa,MF,Espanyol,Spain,La Liga,TRUE
2002,Portugal,Luís Figo,MF,Real Madrid,Spain,La Liga,TRUE
2002,Portugal,João Pinto,FW,Sporting CP,Portugal,,FALSE
2002,Portugal,Pauleta,FW,Bordeaux,France,Ligue 1,TRUE
2002,Portugal,Rui Costa,MF,Milan,Italy,Serie A,TRUE
